id,email,first_name,last_name,gender,born_date,city,job,last_login,provider,created_at,updated_at
ba634983-1b35-53ae-b2d4-c379f806b36b,user00001@synthetic-credit.vn,Thao,Huynh,false,1995-04-22,Hue,Engineer,2026-04-30T14:29:07+00:00,GOOGLE,2025-08-14T14:29:07+00:00,2026-06-10T14:29:07+00:00
321003e1-2849-548e-bc2e-4517fe445c9f,user00002@synthetic-credit.vn,Tuan,Tran,false,2003-04-16,Dong Nai,Teacher,2026-05-05T14:29:07+00:00,GOOGLE,2025-08-31T14:29:07+00:00,2026-06-10T14:29:07+00:00
331476b8-2901-54d8-9374-741a7c0e2e02,user00003@synthetic-credit.vn,Quang,Bui,false,1995-01-16,Hue,Office Worker,2026-05-25T14:29:07+00:00,EMAIL,2024-11-05T14:29:07+00:00,2026-06-10T14:29:07+00:00
5ffc1cbd-6d65-5234-bb4b-79682a151d62,user00004@synthetic-credit.vn,Bao,Tran,true,1984-05-11,Da Nang,Accountant,2026-06-03T14:29:07+00:00,GOOGLE,2023-12-02T14:29:07+00:00,2026-06-10T14:29:07+00:00
ead86a83-bfcd-5b70-9755-1b351e81ed4a,user00005@synthetic-credit.vn,Phuc,Bui,false,1990-06-28,Hai Phong,Teacher,2026-05-29T14:29:07+00:00,GOOGLE,2024-08-26T14:29:07+00:00,2026-06-10T14:29:07+00:00
b000787c-111b-5cda-bfd2-5a010b034585,user00006@synthetic-credit.vn,Trang,Pham,true,2003-01-13,Nha Trang,Engineer,2026-05-26T14:29:07+00:00,EMAIL,2025-06-26T14:29:07+00:00,2026-06-10T14:29:07+00:00
bd9cbeb4-93d3-5ed3-b7fb-a0d8ab5e85a2,user00007@synthetic-credit.vn,Quang,Le,true,1978-02-23,Binh Duong,Designer,2026-05-01T14:29:07+00:00,GOOGLE,2026-03-29T14:29:07+00:00,2026-06-10T14:29:07+00:00
a311c349-f7e8-5233-b135-c40e36ac8a9b,user00008@synthetic-credit.vn,Linh,Phan,true,1980-11-10,Ho Chi Minh City,Teacher,2026-05-13T14:29:07+00:00,GOOGLE,2024-07-02T14:29:07+00:00,2026-06-10T14:29:07+00:00
47f852c7-0386-5b79-b254-d4e128931e59,user00009@synthetic-credit.vn,Vy,Huynh,true,1994-09-13,Can Tho,Accountant,2026-05-30T14:29:07+00:00,GOOGLE,2025-05-23T14:29:07+00:00,2026-06-10T14:29:07+00:00
c84a8695-f362-57eb-8e2f-f1db0dd35f62,user00010@synthetic-credit.vn,Minh,Hoang,false,1992-12-26,Da Nang,Freelancer,2026-05-15T14:29:07+00:00,EMAIL,2025-03-14T14:29:07+00:00,2026-06-10T14:29:07+00:00
9a257554-d6ad-5166-843d-4ab76fa6ecd3,user00011@synthetic-credit.vn,Mai,Do,false,2002-09-01,Ha Noi,Small Business Owner,2026-04-26T14:29:07+00:00,EMAIL,2024-02-29T14:29:07+00:00,2026-06-10T14:29:07+00:00
ce6d330b-a7a6-510f-a360-04a22c697797,user00012@synthetic-credit.vn,Tuan,Hoang,true,1979-06-20,Ha Noi,Designer,2026-05-25T14:29:07+00:00,EMAIL,2026-04-25T14:29:07+00:00,2026-06-10T14:29:07+00:00
d8d89b78-c0d2-55fa-990e-a2d67049613e,user00013@synthetic-credit.vn,Bao,Dang,false,2001-03-26,Hai Phong,Freelancer,2026-05-29T14:29:07+00:00,GOOGLE,2023-12-21T14:29:07+00:00,2026-06-10T14:29:07+00:00
c5d1762f-e2d2-548f-9174-0ae407350854,user00014@synthetic-credit.vn,Linh,Do,false,1982-06-27,Hue,Designer,2026-05-25T14:29:07+00:00,GOOGLE,2024-03-22T14:29:07+00:00,2026-06-10T14:29:07+00:00
255264dc-1a5c-5f97-8e96-5f6554e7b6b4,user00015@synthetic-credit.vn,Duc,Huynh,true,1994-08-18,Hai Phong,Sales Executive,2026-05-09T14:29:07+00:00,GOOGLE,2024-06-30T14:29:07+00:00,2026-06-10T14:29:07+00:00
bc028e9f-96f1-5a0a-932e-969cde7a3198,user00016@synthetic-credit.vn,Thao,Huynh,true,1984-11-28,Da Nang,Freelancer,2026-04-21T14:29:07+00:00,GOOGLE,2024-09-18T14:29:07+00:00,2026-06-10T14:29:07+00:00
8a428d56-1174-5374-b69e-9b64e33b03f9,user00017@synthetic-credit.vn,Phuc,Vo,true,1999-02-09,Dong Nai,Engineer,2026-04-18T14:29:07+00:00,GOOGLE,2025-07-08T14:29:07+00:00,2026-06-10T14:29:07+00:00
b9dc1e37-3408-546a-b1f3-116fe4d94b96,user00018@synthetic-credit.vn,Linh,Tran,false,2006-06-08,Ho Chi Minh City,Sales Executive,2026-05-07T14:29:07+00:00,GOOGLE,2024-08-17T14:29:07+00:00,2026-06-10T14:29:07+00:00
5a78d79c-ef1c-5dc1-940b-8bf5daed9b0b,user00019@synthetic-credit.vn,Binh,Vo,true,1998-02-15,Hue,Office Worker,2026-05-14T14:29:07+00:00,GOOGLE,2024-03-30T14:29:07+00:00,2026-06-10T14:29:07+00:00
21588cbc-6719-5131-9c5c-1d36a68d5239,user00020@synthetic-credit.vn,Linh,Le,true,2005-10-12,Dong Nai,Student,2026-06-08T14:29:07+00:00,GOOGLE,2024-10-30T14:29:07+00:00,2026-06-10T14:29:07+00:00
2a666883-b124-51a3-b39b-99cda583fb99,user00021@synthetic-credit.vn,Trang,Huynh,true,1973-06-23,Hue,Engineer,2026-05-22T14:29:07+00:00,EMAIL,2025-06-09T14:29:07+00:00,2026-06-10T14:29:07+00:00
c7a311d3-b07b-5bbc-9c11-1040722193de,user00022@synthetic-credit.vn,Hanh,Vo,false,1979-06-25,Hai Phong,Teacher,2026-06-08T14:29:07+00:00,GOOGLE,2023-11-26T14:29:07+00:00,2026-06-10T14:29:07+00:00
4951a72e-1081-538b-8967-7dfc029a8f54,user00023@synthetic-credit.vn,Linh,Dang,false,1985-12-16,Ho Chi Minh City,Accountant,2026-05-10T14:29:07+00:00,FACEBOOK,2024-01-26T14:29:07+00:00,2026-06-10T14:29:07+00:00
4a7e85cd-72dc-59cd-8814-403da388eabf,user00024@synthetic-credit.vn,Minh,Vo,true,1996-04-11,Ho Chi Minh City,Healthcare Worker,2026-05-13T14:29:07+00:00,EMAIL,2025-11-30T14:29:07+00:00,2026-06-10T14:29:07+00:00
281ccd85-504f-5492-bf20-46f165c70e74,user00025@synthetic-credit.vn,Trang,Do,true,1990-12-26,Hai Phong,Small Business Owner,2026-05-21T14:29:07+00:00,FACEBOOK,2023-05-20T14:29:07+00:00,2026-06-10T14:29:07+00:00
